Question,Responses
How would you describe  the team culture in International Presales?,Test
How would you describe  the team culture in International Presales?,Positive
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,teamwork
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Collaboration
How would you describe  the team culture in International Presales?,Strong
How would you describe  the team culture in International Presales?,Amazing
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Smart
How would you describe  the team culture in International Presales?,Innovative
How would you describe  the team culture in International Presales?,Advisor
How would you describe  the team culture in International Presales?,Pragmatic
How would you describe  the team culture in International Presales?,Diverse
How would you describe  the team culture in International Presales?,Drivers
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Overworked
How would you describe  the team culture in International Presales?,transparent
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Together_and_assist_each
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Rockstars
How would you describe  the team culture in International Presales?,Resilient
How would you describe  the team culture in International Presales?,Collaboration
How would you describe  the team culture in International Presales?,High_technical_team
How would you describe  the team culture in International Presales?,Dynamic
How would you describe  the team culture in International Presales?,Good_Team_culture
How would you describe  the team culture in International Presales?,supported
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,supportive
How would you describe  the team culture in International Presales?,Collaboration
How would you describe  the team culture in International Presales?,Sharing_knowledge
How would you describe  the team culture in International Presales?,Spanned_wide
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Awesome
How would you describe  the team culture in International Presales?,rockstarts
How would you describe  the team culture in International Presales?,Innovative
How would you describe  the team culture in International Presales?,Teamwork
How would you describe  the team culture in International Presales?,Resilient
How would you describe  the team culture in International Presales?,Work_Hard
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Helping_each_other
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Overworked
How would you describe  the team culture in International Presales?,Positive
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Creative
How would you describe  the team culture in International Presales?,Great
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Collaboration
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Knowledgeable
How would you describe  the team culture in International Presales?,supportive
How would you describe  the team culture in International Presales?,Challenging
How would you describe  the team culture in International Presales?,supportive
How would you describe  the team culture in International Presales?,Like_to_be_part_from_it
How would you describe  the team culture in International Presales?,helpful
How would you describe  the team culture in International Presales?,strive_for_excellence
How would you describe  the team culture in International Presales?,Catch_All
How would you describe  the team culture in International Presales?,Hard_working
How would you describe  the team culture in International Presales?,No_Bootcampsd
How would you describe  the team culture in International Presales?,Value_proposition
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI PROMPT HERO
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",intelligent advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",transform process to AI enabled
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",OSM Hero
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",feeding data to the AI
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Value selling and AI
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI navigator
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Ai solutions and interoperability
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Selling more cloud solutions
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Expert advice
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",The leader of ai
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI first
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Bigger part of sales success
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",The brain of the sales engine
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Adapt to the changes AI and
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","Faster, stronger delivery"
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Be a trusted advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Trusted advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Customer first
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Ai leader
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Educate and advice
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI first
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Presale need to drive the ai revolution
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Technically closing deals with all tools available
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",drive cloud business with AI
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Sell AI and support more support issues
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",To evolve into a customer success advisory
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI master and controller
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI stewards
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Proof reading AI work prior to submission
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI equiped SC
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Aviator’s
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Use AI to reduce the sales cycle.
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Productivity Maximizer
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Automating POC’s
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Focusing on AI use cases
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",expert advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Put customers first
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI advisory
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Trusted advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI LEADER
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Make AI usable and adapt changes
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Trusted advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Trusted advisor for the customer and the sales
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","Driving customer success through innovation, insight, and value-focused solution alignment"
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",More training on AI - integration with our own products
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI enablers
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","AI first, Adapt to changes"
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","Ai, ai, ai"
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Collaborative co-creation
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Industry expertise
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","Showcase business values, AI & beyond"
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Use ai to incease business
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Sales driven
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Ai aviator
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",adaptive
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Same as today
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Good advisors
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Industry Advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Helping sales
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Rule the AI to deliver the deal-support
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",understand the AI
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","Evangalise, trusted"
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI first
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","Depend on AI to give new ideas 
Improve productive 
Consult customer to get the best benfits from our solutions"
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Value elevator
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Cloud advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Combined with sales
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","Highly strategic, technical and data driven function"
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","AI Commander, Reviewer, and Final Decision Maker."
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Too guide / lead our customers to a business outcome
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Maintaining customer relationships and identifying opportunities - we are the ‘consistent face’ in accounts while AE’s turn over more frequently.
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",trusted advisors
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI Enablers
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI driven
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Evolve from single solution support to end to end industry expertise
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Trusted  and AI READY PARTNER
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Lagging
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Trusted technology advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Driving the initiative
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Solution Advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Deliver unified value stories across pillars
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Aligning AI to real business outcomes
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Do more of partner support work.
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Value advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Trusted advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Leading the customer team to thrive
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","Produce Modern Compelling Value for the sales success across the various presales teams and PMs, PS etc"
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI Consultant
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Drive AI product portfolio sales
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Advocators of how can OpenText solutions help your organization
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","strategic value architects — leveraging data, AI, and deep domain expertise to  evolve from solution selling to strategic value consulting, aligning technology capabilities with measurable busine"
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","Productivity Maximizer ,
Improving the quality of the out come"
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Explaining how best to leverage AI
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",AI Advisor and innovation guide
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Surens powerhouse of skills
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Consultative and trust advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",More a business advisor vs techincal advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Cross portfólio
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Building blocks
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",To deliver value
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?","Understanding Corporate strategies and aligning our solutions to business roadmaps. This requires the understanding of the organization business strategies, where they are and what is their to-de stat"
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",2
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",The Leader of AI
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Trusted advisor
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Drive innovation.
"The Future Mission: Looking 2 years ahead, what do you believe will be the primary mission or purpose of the Presales role?",Solution Architect
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Ai
What do you believe are additional skillsets that will be important for Presales in the future? ,Patience
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Adaptability
What do you believe are additional skillsets that will be important for Presales in the future? ,Ai
What do you believe are additional skillsets that will be important for Presales in the future? ,Ai
What do you believe are additional skillsets that will be important for Presales in the future? ,AI_capabilities
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Security_and_AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Ai
What do you believe are additional skillsets that will be important for Presales in the future? ,Communication
What do you believe are additional skillsets that will be important for Presales in the future? ,Adaptability
What do you believe are additional skillsets that will be important for Presales in the future? ,Ai_architecture
What do you believe are additional skillsets that will be important for Presales in the future? ,Innovation
What do you believe are additional skillsets that will be important for Presales in the future? ,Sales_Engineering
What do you believe are additional skillsets that will be important for Presales in the future? ,Ai_skillsey
What do you believe are additional skillsets that will be important for Presales in the future? ,softskills
What do you believe are additional skillsets that will be important for Presales in the future? ,Consulting
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Value_articulation
What do you believe are additional skillsets that will be important for Presales in the future? ,Industry_domain
What do you believe are additional skillsets that will be important for Presales in the future? ,Storytelling
What do you believe are additional skillsets that will be important for Presales in the future? ,Personality
What do you believe are additional skillsets that will be important for Presales in the future? ,Sales_targets
What do you believe are additional skillsets that will be important for Presales in the future? ,Leadership_and_AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Ai
What do you believe are additional skillsets that will be important for Presales in the future? ,AI_Driven_SC
What do you believe are additional skillsets that will be important for Presales in the future? ,Enterprise_architecture
What do you believe are additional skillsets that will be important for Presales in the future? ,Osint_research
What do you believe are additional skillsets that will be important for Presales in the future? ,Adaptability
What do you believe are additional skillsets that will be important for Presales in the future? ,Business_architect
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,adaptability
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Understand_business
What do you believe are additional skillsets that will be important for Presales in the future? ,Better_sales_people
What do you believe are additional skillsets that will be important for Presales in the future? ,AI_AI_AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Content_mgmt
What do you believe are additional skillsets that will be important for Presales in the future? ,Ai_skillset
What do you believe are additional skillsets that will be important for Presales in the future? ,Industry_experise
What do you believe are additional skillsets that will be important for Presales in the future? ,Multiple_product_knowledg
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,security
What do you believe are additional skillsets that will be important for Presales in the future? ,adapt_to_change
What do you believe are additional skillsets that will be important for Presales in the future? ,ai
What do you believe are additional skillsets that will be important for Presales in the future? ,Continuous_Learning
What do you believe are additional skillsets that will be important for Presales in the future? ,Trusted-Advisor
What do you believe are additional skillsets that will be important for Presales in the future? ,Governance
What do you believe are additional skillsets that will be important for Presales in the future? ,Adaptability
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,adaptability
What do you believe are additional skillsets that will be important for Presales in the future? ,Communication
What do you believe are additional skillsets that will be important for Presales in the future? ,Story_telling
What do you believe are additional skillsets that will be important for Presales in the future? ,Discovery
What do you believe are additional skillsets that will be important for Presales in the future? ,Human_relationship_build
What do you believe are additional skillsets that will be important for Presales in the future? ,Customer_Support_Mgmt
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Ai
What do you believe are additional skillsets that will be important for Presales in the future? ,flexibility
What do you believe are additional skillsets that will be important for Presales in the future? ,Innovation
What do you believe are additional skillsets that will be important for Presales in the future? ,Continuous_learning
What do you believe are additional skillsets that will be important for Presales in the future? ,Data_literacy_and_strateg
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Communication
What do you believe are additional skillsets that will be important for Presales in the future? ,Communication
What do you believe are additional skillsets that will be important for Presales in the future? ,Sales
What do you believe are additional skillsets that will be important for Presales in the future? ,x_domain_skills
What do you believe are additional skillsets that will be important for Presales in the future? ,Ai
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Ai
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Mindset
What do you believe are additional skillsets that will be important for Presales in the future? ,Executive_comunication
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Prompt_engineering
What do you believe are additional skillsets that will be important for Presales in the future? ,ai
What do you believe are additional skillsets that will be important for Presales in the future? ,ai
What do you believe are additional skillsets that will be important for Presales in the future? ,Value_consulting
What do you believe are additional skillsets that will be important for Presales in the future? ,Product_knowledge
What do you believe are additional skillsets that will be important for Presales in the future? ,Communication
What do you believe are additional skillsets that will be important for Presales in the future? ,Adaptability
What do you believe are additional skillsets that will be important for Presales in the future? ,Product_tailored_training
What do you believe are additional skillsets that will be important for Presales in the future? ,Enterprise_architecture
What do you believe are additional skillsets that will be important for Presales in the future? ,Trusted-Advisor
What do you believe are additional skillsets that will be important for Presales in the future? ,Smarter_AEs
What do you believe are additional skillsets that will be important for Presales in the future? ,AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Integration_with_other_st
What do you believe are additional skillsets that will be important for Presales in the future? ,Adaption
What do you believe are additional skillsets that will be important for Presales in the future? ,Full_AI_adoption
What do you believe are additional skillsets that will be important for Presales in the future? ,Cross_knowlodge
What do you believe are additional skillsets that will be important for Presales in the future? ,empathy
What do you believe are additional skillsets that will be important for Presales in the future? ,Storytelling
What do you believe are additional skillsets that will be important for Presales in the future? ,Adaptability
What do you believe are additional skillsets that will be important for Presales in the future? ,cross_product_and_vendor
What do you believe are additional skillsets that will be important for Presales in the future? ,Industry_knowledge
What do you believe are additional skillsets that will be important for Presales in the future? ,communication
What do you believe are additional skillsets that will be important for Presales in the future? ,Communication
What do you believe are additional skillsets that will be important for Presales in the future? ,Collaboration
What do you believe are additional skillsets that will be important for Presales in the future? ,Agentic_AI
What do you believe are additional skillsets that will be important for Presales in the future? ,Enterprise_architecture
What do you believe are additional skillsets that will be important for Presales in the future? ,Partner_Creation
What do you believe are additional skillsets that will be important for Presales in the future? ,Adaptability
What do you believe are additional skillsets that will be important for Presales in the future? ,Adaptability
What do you believe are additional skillsets that will be important for Presales in the future? ,AI_enabled
What do you believe are additional skillsets that will be important for Presales in the future? ,learning
What do you believe are additional skillsets that will be important for Presales in the future? ,empathy
What do you believe are additional skillsets that will be important for Presales in the future? ,Entertaining_story_teller
What do you believe are additional skillsets that will be important for Presales in the future? ,Storytelling
What do you believe are additional skillsets that will be important for Presales in the future? ,Industry
What do you believe are additional skillsets that will be important for Presales in the future? ,Embrace_change
What do you believe are additional skillsets that will be important for Presales in the future? ,AI_knowledge_and_credibil
What do you believe are additional skillsets that will be important for Presales in the future? ,Empathy
What do you believe are additional skillsets that will be important for Presales in the future? ,to_find_information
What do you believe are additional skillsets that will be important for Presales in the future? ,Slides_preparation_suppor
What do you believe are additional skillsets that will be important for Presales in the future? ,Rounded_Ai_knowlede
How would you use AI to be more efficient in your role?,Finding information
How would you use AI to be more efficient in your role?,Automate trivial tasks
How would you use AI to be more efficient in your role?,Compare RFP
How would you use AI to be more efficient in your role?,Building ppt slide content and associated imagery
How would you use AI to be more efficient in your role?,Discovery and Research
How would you use AI to be more efficient in your role?,develop solution program with vibe coding
How would you use AI to be more efficient in your role?,Data extraction at speed
How would you use AI to be more efficient in your role?,No use
How would you use AI to be more efficient in your role?,Pre demo prep on customer
How would you use AI to be more efficient in your role?,Customer intelligence
How would you use AI to be more efficient in your role?,RFP Response
How would you use AI to be more efficient in your role?,Answer RFP
How would you use AI to be more efficient in your role?,Getting support for repetitive tasks
How would you use AI to be more efficient in your role?,Reduce repeatable tasks
How would you use AI to be more efficient in your role?,Industry knowledge
How would you use AI to be more efficient in your role?,Create a ai model to slove product issues
How would you use AI to be more efficient in your role?,Research
How would you use AI to be more efficient in your role?,"Document Analysis, competitive analysis"
How would you use AI to be more efficient in your role?,empowering my theory
How would you use AI to be more efficient in your role?,Generate document
How would you use AI to be more efficient in your role?,AI driven poc development.
How would you use AI to be more efficient in your role?,Sw development
How would you use AI to be more efficient in your role?,Automation of Demo with Live user data
How would you use AI to be more efficient in your role?,Fast and accurate
How would you use AI to be more efficient in your role?,AI help more broaden information and make faster process
How would you use AI to be more efficient in your role?,Optimize presales time
How would you use AI to be more efficient in your role?,automate tasks
How would you use AI to be more efficient in your role?,Customized value selling
How would you use AI to be more efficient in your role?,Create demo environments based on customer scenario
How would you use AI to be more efficient in your role?,Searching information
How would you use AI to be more efficient in your role?,Automate tasks and enhance insights.
How would you use AI to be more efficient in your role?,"Helping in difficult use cases, integrating with customer current infrastructure, help attack competitors"
How would you use AI to be more efficient in your role?,RFP response
How would you use AI to be more efficient in your role?,"Sales play , undersatnd how compitator thinking , new ideas"
How would you use AI to be more efficient in your role?,demo preparation
How would you use AI to be more efficient in your role?,manager assistant
How would you use AI to be more efficient in your role?,Use ai as a co worker
How would you use AI to be more efficient in your role?,"Tailor customer presentation, rfp responses, technical issues troubleshooting, demo scripts"
How would you use AI to be more efficient in your role?,Automate trivial tasks
How would you use AI to be more efficient in your role?,Search information
How would you use AI to be more efficient in your role?,Express data in palatable form
How would you use AI to be more efficient in your role?,Knowledge and Enablement
How would you use AI to be more efficient in your role?,Additional information and good value of information
How would you use AI to be more efficient in your role?,Ask AI first
How would you use AI to be more efficient in your role?,Gather our support info to better fix customer issues
