Question,Response,Old_Sentiment,New_Sentiment,Your_Label,Notes
"The Future Mission: Looking 2 years ahead, what do you believe should be Presales primary mission?","AI PROMPT HERO",Positive,Positive,,Should be Positive - aspiration
"How would you use AI to be more efficient in your role?","Agents Agents Agents and more Agents",Positive,Neutral,,Should be Neutral - informational
"How would you use AI to be more efficient in your role?","Enhance AI as part of the offering",Neutral,Negative,,Should be Neutral/Positive - constructive suggestion
"How would you use AI to be more efficient in your role?","Automate tasks and enhance insights.",Neutral,Negative,,Should be Positive - clear initiative
"How would you use AI to be more efficient in your role?","Knowing more about the computation",Positive,Neutral,,Should be Neutral - informational need
"What should we stop doing  today?","Complaining",Negative,Negative,,Should be Negative - clear pain point
"What should we stop doing  today?","Spoon_feeding_AE",Neutral,Negative,,Should be Negative - frustration indicator
"What should we stop doing  today?","No_Bootcampsd",Neutral,Negative,,Should be Negative - complaint (typo)
"What should we start doing differently tomorrow?","Enablement",Neutral,Positive,,Should be Positive - initiative in START context
"What should we start doing differently tomorrow?","More training",Neutral,Positive,,Should be Positive - initiative
"What should we start doing differently tomorrow?","Better collaboration",Neutral,Positive,,Should be Positive - initiative
"The Buyer's Experience: Our customers are more informed  than ever. How does this change how we add value?","We should be even more informed on what's out there",Positive,Neutral,,Should be Negative/Neutral - gap indicator
"The Buyer's Experience: Our customers are more informed  than ever. How does this change how we add value?","we need to know more about their business and how we can help them with our technology",Positive,Neutral,,Should be Negative/Neutral - indicates gap
"How should our team's relationship with Product Management , Marketing , PS and CS be different?","with PM - better communication to bring more clients necessities to our products",Positive,Negative,,Should be Negative - constructive criticism
"How should our team's relationship with Product Management , Marketing , PS and CS be different?","Need to have regular monthly enablement calls to hear customer feedbacks",Neutral,Negative,,Should be Negative - indicates missing process
"How would you describe  the team culture in International Presales?","Catch_All",Neutral,Neutral,,Should be Neutral - ambiguous
"How would you describe  the team culture in International Presales?","Team_work",Neutral,Positive,,Should be Positive - strength
"How would you describe  the team culture in International Presales?","Work_Hard",Neutral,Positive,,Should be Positive/Neutral - could be strength or burnout
"What do you believe are additional skillsets that will be important in the next 3-5 years?","Adaptability",Neutral,Positive,,Should be Positive - valuable skill
"What do you believe are additional skillsets that will be important in the next 3-5 years?","Communication",Neutral,Positive,,Should be Positive - valuable skill
"What do you believe are additional skillsets that will be important in the next 3-5 years?","AI expertise",Positive,Positive,,Should be Positive - valuable skill
"How would you use AI to be more efficient in your role?","Gather our support info to better fix customer issues",Positive,Neutral,,Should be Positive - constructive use case
"What should we stop doing  today?","POC",Neutral,Negative,,Should be Negative - pain point (repeated responses indicate strong sentiment)
"What should we stop doing  today?","Too many meetings",Negative,Negative,,Should be Negative - clear pain point
"What should we start doing differently tomorrow?","Focus on outcomes",Positive,Positive,,Should be Positive - strategic initiative
"As routine tasks get automated, what becomes the most important, uniquely human ways we add value?","Creativity",Positive,Positive,,Should be Positive - strength
